"pid","grp","duration","entry","exit","num","ind"
675,"vac",5,36,96,6294,1
675,"obs",15,36,96,6294,1
681,"wait",38,39,101,6294,1
681,"vac",4,39,101,6294,1
681,"obs",15,39,101,6294,1
694,"wait",44,55,122,6294,1
694,"vac",3,55,122,6294,1
694,"obs",15,55,122,6294,1
701,"wait",41,45,110,6294,1
701,"vac",4,45,110,6294,1
701,"obs",15,45,110,6294,1
702,"wait",43,54,126,6294,1
702,"vac",9,54,126,6294,1
702,"obs",15,54,126,6294,1
705,"wait",35,36,99,6294,1
705,"vac",8,36,99,6294,1
705,"obs",15,36,99,6294,1
707,"wait",41,43,111,6294,1
707,"vac",7,43,111,6294,1
707,"obs",15,43,111,6294,1
713,"wait",35,36,96,6294,1
713,"vac",5,36,96,6294,1
713,"obs",15,36,96,6294,1
715,"wait",36,36,97,6294,1
715,"vac",5,36,97,6294,1
715,"obs",15,36,97,6294,1
718,"wait",39,40,102,6294,1
718,"vac",3,40,102,6294,1
718,"obs",15,40,102,6294,1
722,"wait",35,33,98,6294,1
722,"vac",10,33,98,6294,1
722,"obs",15,33,98,6294,1
723,"wait",42,49,116,6294,1
723,"vac",5,49,116,6294,1
723,"obs",15,49,116,6294,1
729,"wait",40,41,105,6294,1
729,"vac",4,41,105,6294,1
729,"obs",15,41,105,6294,1
748,"wait",41,41,106,6294,1
748,"vac",4,41,106,6294,1
748,"obs",15,41,106,6294,1
751,"wait",38,39,100,6294,1
751,"vac",3,39,100,6294,1
751,"obs",15,39,100,6294,1
752,"wait",41,41,107,6294,1
752,"vac",5,41,107,6294,1
752,"obs",15,41,107,6294,1
758,"wait",30,25,78,6294,1
758,"vac",3,25,78,6294,1
758,"obs",15,25,78,6294,1
772,"wait",34,30,92,6294,1
772,"vac",8,30,92,6294,1
772,"obs",15,30,92,6294,1
779,"wait",37,38,102,6294,1
779,"vac",7,38,102,6294,1
779,"obs",15,38,102,6294,1
792,"wait",37,37,97,6294,1
792,"vac",3,37,97,6294,1
792,"obs",15,37,97,6294,1
800,"wait",31,27,87,6294,1
